Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
2017-12-02,18:00,,,,41,,,,13.5
2017-12-02,19:00,,,,53,,,,7.7
2017-12-02,20:00,,,,51,,,,8.2
2017-12-02,21:00,,,,46,,,,9.6
2017-12-02,22:00,,,,62,,,,2.4
2017-12-02,23:00,,,,66,,,,2.4
2017-12-03,00:00,,,,59,,,,4.9
2017-12-03,01:00,,,,58,,,,5.5
2017-12-03,02:00,,,,64,,,,2.7
2017-12-03,03:00,,,,67,,,,1.3
2017-12-03,04:00,,,,68,,,,1.6
2017-12-03,05:00,,,,68,,,,1.9
2017-12-03,06:00,,,,64,,,,3.2
2017-12-03,07:00,,,,62,,,,2.4
2017-12-03,08:00,,,,60,,,,2.6
2017-12-03,09:00,,,,61,,,,2.5
2017-12-03,10:00,,,,60,,,,1.6
2017-12-03,11:00,,,,59,,,,1.0
2017-12-03,12:00,,,,53,,,,0.5
2017-12-03,13:00,,,,52,,,,0.5
2017-12-03,14:00,,,,54,,,,0.5
2017-12-03,15:00,,,,55,,,,0.5
2017-12-03,16:00,,,,54,,,,0.5
2017-12-03,17:00,,,,53,,,,0.5
2017-12-03,18:00,,,,47,,,,0.5
2017-12-03,19:00,,,,44,,,,0.5
2017-12-03,20:00,,,,42,,,,0.5
2017-12-03,21:00,,,,39,,,,0.5
2017-12-03,22:00,,,,36,,,,0.5
2017-12-03,23:00,,,,34,,,,0.5
2017-12-04,00:00,,,,34,,,,0.5
2017-12-04,01:00,,,,34,,,,0.5
2017-12-04,02:00,,,,34,,,,0.5
2017-12-04,03:00,,,,36,,,,0.5
2017-12-04,04:00,,,,36,,,,0.5
2017-12-04,05:00,,,,43,,,,0.5
2017-12-04,06:00,,,,44,,,,0.5
2017-12-04,07:00,,,,42,,,,0.5
2017-12-04,08:00,,,,41,,,,0.5
2017-12-04,09:00,,,,45,,,,0.5
2017-12-04,10:00,,,,46,,,,0.5
2017-12-04,11:00,,,,44,,,,0.5
2017-12-04,12:00,,,,47,,,,0.5
2017-12-04,13:00,,,,54,,,,0.5
2017-12-04,14:00,,,,62,,,,0.5
2017-12-04,15:00,,,,70,,,,0.5
2017-12-04,16:00,,,,65,,,,0.5
2017-12-04,17:00,,,,66,,,,0.5
2017-12-04,18:00,,,,66,,,,0.5
2017-12-04,19:00,,,,70,,,,0.5
2017-12-04,20:00,,,,72,,,,0.5
2017-12-04,21:00,,,,72,,,,0.5
2017-12-04,22:00,,,,72,,,,0.5
2017-12-04,23:00,,,,73,,,,0.5
2017-12-05,00:00,,,,73,,,,0.5
2017-12-05,01:00,,,,72,,,,0.5
2017-12-05,02:00,,,,69,,,,0.5
2017-12-05,03:00,,,,69,,,,0.5
2017-12-05,04:00,,,,67,,,,0.5
2017-12-05,05:00,,,,61,,,,0.5
2017-12-05,06:00,,,,56,,,,0.5
2017-12-05,07:00,,,,58,,,,0.5
2017-12-05,08:00,,,,58,,,,0.5
2017-12-05,09:00,,,,53,,,,0.5
2017-12-05,10:00,,,,50,,,,0.5
2017-12-05,11:00,,,,50,,,,0.5
2017-12-05,12:00,,,,49,,,,0.5
2017-12-05,13:00,,,,52,,,,0.5
2017-12-05,14:00,,,,55,,,,0.5
2017-12-05,15:00,,,,58,,,,0.5
2017-12-05,16:00,,,,56,,,,0.5
2017-12-05,17:00,,,,53,,,,0.5
2017-12-05,18:00,,,,56,,,,0.5
2017-12-05,19:00,,,,57,,,,0.5
2017-12-05,20:00,,,,58,,,,0.5
2017-12-05,21:00,,,,54,,,,0.5
2017-12-05,22:00,,,,56,,,,0.5
2017-12-05,23:00,,,,60,,,,0.5
2017-12-06,00:00,,,,63,,,,0.5
2017-12-06,01:00,,,,62,,,,0.5
2017-12-06,02:00,,,,62,,,,0.5
2017-12-06,03:00,,,,62,,,,0.5
2017-12-06,04:00,,,,61,,,,0.5
2017-12-06,05:00,,,,59,,,,0.5
2017-12-06,06:00,,,,56,,,,0.5
2017-12-06,07:00,,,,53,,,,0.5
2017-12-06,08:00,,,,54,,,,0.5
2017-12-06,09:00,,,,55,,,,0.5
2017-12-06,10:00,,,,57,,,,0.5
2017-12-06,11:00,,,,59,,,,0.5
2017-12-06,12:00,,,,59,,,,0.5
2017-12-06,13:00,,,,58,,,,0.5
2017-12-06,14:00,,,,58,,,,0.5
2017-12-06,15:00,,,,58,,,,0.5
2017-12-06,16:00,,,,57,,,,0.5
2017-12-06,17:00,,,,57,,,,0.5
2017-12-06,18:00,,,,57,,,,0.5
2017-12-06,19:00,,,,55,,,,0.5
2017-12-06,20:00,,,,54,,,,0.5
2017-12-06,21:00,,,,54,,,,0.5
2017-12-06,22:00,,,,54,,,,0.5
2017-12-06,23:00,,,,53,,,,0.5
2017-12-07,00:00,,,,55,,,,0.5
2017-12-07,01:00,,,,56,,,,0.5
2017-12-07,02:00,,,,61,,,,0.5
2017-12-07,03:00,,,,67,,,,0.5
2017-12-07,04:00,,,,71,,,,0.5
2017-12-07,05:00,,,,75,,,,0.5
2017-12-07,06:00,,,,77,,,,0.5
2017-12-07,07:00,,,,77,,,,0.5
2017-12-07,08:00,,,,75,,,,0.5
2017-12-07,09:00,,,,76,,,,0.5
2017-12-07,10:00,,,,78,,,,0.5
2017-12-07,11:00,,,,76,,,,0.5
2017-12-07,12:00,,,,80,,,,0.5
2017-12-07,13:00,,,,79,,,,0.5
2017-12-07,14:00,,,,78,,,,0.5
2017-12-07,15:00,,,,73,,,,0.5
2017-12-07,16:00,,,,71,,,,0.5
2017-12-07,17:00,,,,68,,,,0.5
2017-12-07,18:00,,,,66,,,,0.5
2017-12-07,19:00,,,,66,,,,0.5
2017-12-07,20:00,,,,59,,,,0.5
2017-12-07,21:00,,,,58,,,,0.5
2017-12-07,22:00,,,,61,,,,0.5
2017-12-07,23:00,,,,61,,,,0.5
2017-12-08,00:00,,,,63,,,,0.5
2017-12-08,01:00,,,,61,,,,0.5
2017-12-08,02:00,,,,59,,,,0.5
2017-12-08,03:00,,,,55,,,,0.5
2017-12-08,04:00,,,,56,,,,0.5
2017-12-08,05:00,,,,56,,,,0.5
2017-12-08,06:00,,,,55,,,,0.5
2017-12-08,07:00,,,,51,,,,0.5
2017-12-08,08:00,,,,50,,,,0.5
2017-12-08,09:00,,,,49,,,,0.5
2017-12-08,10:00,,,,56,,,,0.5
2017-12-08,11:00,,,,58,,,,0.5
2017-12-08,12:00,,,,65,,,,0.5
2017-12-08,13:00,,,,64,,,,0.5
2017-12-08,14:00,,,,60,,,,0.5
2017-12-08,15:00,,,,61,,,,0.5
2017-12-08,16:00,,,,66,,,,0.5
2017-12-08,17:00,,,,64,,,,0.5
2017-12-08,18:00,,,,63,,,,0.5
2017-12-08,19:00,,,,61,,,,0.5
2017-12-08,20:00,,,,62,,,,0.5
2017-12-08,21:00,,,,61,,,,0.5
2017-12-08,22:00,,,,60,,,,0.5
2017-12-08,23:00,,,,61,,,,0.5
2017-12-09,00:00,,,,65,,,,0.5
2017-12-09,01:00,,,,64,,,,0.5
2017-12-09,02:00,,,,62,,,,0.5
2017-12-09,03:00,,,,62,,,,0.5
2017-12-09,04:00,,,,62,,,,0.5
2017-12-09,05:00,,,,65,,,,0.5
2017-12-09,06:00,,,,62,,,,0.5
2017-12-09,07:00,,,,59,,,,0.5
2017-12-09,08:00,,,,63,,,,0.5
2017-12-09,09:00,,,,69,,,,0.5
2017-12-09,10:00,,,,66,,,,0.5
2017-12-09,11:00,,,,64,,,,0.5
2017-12-09,12:00,,,,64,,,,0.5
2017-12-09,13:00,,,,65,,,,0.5
2017-12-09,14:00,,,,64,,,,0.5
2017-12-09,15:00,,,,64,,,,0.5
2017-12-09,16:00,,,,62,,,,0.5
2017-12-09,17:00,,,,60,,,,0.5
2017-12-09,18:00,,,,60,,,,0.5
2017-12-09,19:00,,,,61,,,,0.5
2017-12-09,20:00,,,,59,,,,0.5
2017-12-09,21:00,,,,56,,,,0.5
2017-12-09,22:00,,,,56,,,,0.5
2017-12-09,23:00,,,,57,,,,0.5
2017-12-10,00:00,,,,59,,,,0.5
2017-12-10,01:00,,,,63,,,,0.5
2017-12-10,02:00,,,,64,,,,0.5
2017-12-10,03:00,,,,65,,,,0.5
2017-12-10,04:00,,,,68,,,,0.5
2017-12-10,05:00,,,,69,,,,0.5
2017-12-10,06:00,,,,72,,,,0.5
2017-12-10,07:00,,,,72,,,,0.5
2017-12-10,08:00,,,,71,,,,1.9
2017-12-10,09:00,,,,69,,,,6.6
2017-12-10,10:00,,,,72,,,,4.3
2017-12-10,11:00,,,,71,,,,0.5
2017-12-10,12:00,,,,71,,,,0.5
2017-12-10,13:00,,,,70,,,,0.5
2017-12-10,14:00,,,,73,,,,0.5
2017-12-10,15:00,,,,73,,,,0.5
2017-12-10,16:00,,,,75,,,,0.5
2017-12-10,17:00,,,,77,,,,0.5
2017-12-10,18:00,,,,78,,,,0.5
2017-12-10,19:00,,,,77,,,,0.5
2017-12-10,20:00,,,,67,,,,2.5
2017-12-10,21:00,,,,63,,,,0.5
2017-12-10,22:00,,,,65,,,,0.5
2017-12-10,23:00,,,,65,,,,0.5
2017-12-11,00:00,,,,66,,,,0.5
2017-12-11,01:00,,,,70,,,,1.9
2017-12-11,02:00,,,,74,,,,0.5
2017-12-11,03:00,,,,75,,,,0.5
2017-12-11,04:00,,,,75,,,,0.5
2017-12-11,05:00,,,,72,,,,0.5
2017-12-11,06:00,,,,70,,,,0.5
2017-12-11,07:00,,,,68,,,,0.5
2017-12-11,08:00,,,,66,,,,1.6
2017-12-11,09:00,,,,66,,,,4.7
2017-12-11,10:00,,,,74,,,,0.5
2017-12-11,11:00,,,,79,,,,0.5
2017-12-11,12:00,,,,78,,,,0.5
2017-12-11,13:00,,,,77,,,,0.5
2017-12-11,14:00,,,,76,,,,0.5
2017-12-11,15:00,,,,75,,,,0.5
2017-12-11,16:00,,,,68,,,,0.5
2017-12-11,17:00,,,,69,,,,0.5
2017-12-11,18:00,,,,67,,,,0.5
2017-12-11,19:00,,,,59,,,,0.5
2017-12-11,20:00,,,,62,,,,0.5
2017-12-11,21:00,,,,56,,,,0.5
2017-12-11,22:00,,,,63,,,,0.5
2017-12-11,23:00,,,,77,,,,0.5
2017-12-12,00:00,,,,78,,,,0.5
2017-12-12,01:00,,,,70,,,,0.5
2017-12-12,02:00,,,,69,,,,0.5
2017-12-12,03:00,,,,67,,,,0.5
2017-12-12,04:00,,,,68,,,,0.5
2017-12-12,05:00,,,,66,,,,0.5
2017-12-12,06:00,,,,61,,,,0.5
2017-12-12,07:00,,,,61,,,,0.5
2017-12-12,08:00,,,,59,,,,0.5
2017-12-12,09:00,,,,52,,,,0.5
2017-12-12,10:00,,,,42,,,,0.5
2017-12-12,11:00,,,,41,,,,0.5
2017-12-12,12:00,,,,47,,,,0.5
2017-12-12,13:00,,,,52,,,,0.5
2017-12-12,14:00,,,,56,,,,0.5
2017-12-12,15:00,,,,60,,,,0.5
2017-12-12,16:00,,,,63,,,,0.5
2017-12-12,17:00,,,,65,,,,0.5
2017-12-12,18:00,,,,64,,,,0.5
2017-12-12,19:00,,,,65,,,,0.5
2017-12-12,20:00,,,,63,,,,0.5
2017-12-12,21:00,,,,62,,,,0.5
2017-12-12,22:00,,,,61,,,,0.5
2017-12-12,23:00,,,,61,,,,0.5
2017-12-13,00:00,,,,60,,,,0.5
2017-12-13,01:00,,,,60,,,,0.5
2017-12-13,02:00,,,,63,,,,0.5
2017-12-13,03:00,,,,65,,,,0.5
2017-12-13,04:00,,,,66,,,,0.5
2017-12-13,05:00,,,,67,,,,0.5
2017-12-13,06:00,,,,66,,,,0.5
2017-12-13,07:00,,,,65,,,,0.5
2017-12-13,08:00,,,,64,,,,0.5
2017-12-13,09:00,,,,62,,,,0.5
2017-12-13,10:00,,,,61,,,,0.5
2017-12-13,11:00,,,,60,,,,1.5
2017-12-13,12:00,,,,61,,,,5.7
2017-12-13,13:00,,,,65,,,,3.6
2017-12-13,14:00,,,,66,,,,3.7
2017-12-13,15:00,,,,67,,,,2.9
2017-12-13,16:00,,,,62,,,,4.2
2017-12-13,17:00,,,,54,,,,0.5
2017-12-13,18:00,,,,54,,,,0.5
2017-12-13,19:00,,,,51,,,,0.5
2017-12-13,20:00,,,,50,,,,0.5
2017-12-13,21:00,,,,55,,,,2.2
2017-12-13,22:00,,,,55,,,,2.0
2017-12-13,23:00,,,,50,,,,2.4
2017-12-14,00:00,,,,52,,,,2.0
2017-12-14,01:00,,,,54,,,,2.4
2017-12-14,02:00,,,,61,,,,1.6
2017-12-14,03:00,,,,60,,,,2.3
2017-12-14,04:00,,,,58,,,,0.5
2017-12-14,05:00,,,,56,,,,0.5
2017-12-14,06:00,,,,61,,,,0.5
2017-12-14,07:00,,,,69,,,,0.5
2017-12-14,08:00,,,,69,,,,0.5
2017-12-14,09:00,,,,74,,,,0.5
2017-12-14,10:00,,,,89,,,,0.5
2017-12-14,11:00,,,,88,,,,0.5
2017-12-14,12:00,,,,85,,,,0.5
2017-12-14,13:00,,,,82,,,,0.5
2017-12-14,14:00,,,,77,,,,0.5
2017-12-14,15:00,,,,76,,,,0.5
2017-12-14,16:00,,,,74,,,,0.5
2017-12-14,17:00,,,,75,,,,0.5
2017-12-14,18:00,,,,72,,,,0.5
2017-12-14,19:00,,,,66,,,,1.8
2017-12-14,20:00,,,,65,,,,2.0
2017-12-14,21:00,,,,69,,,,0.5
2017-12-14,22:00,,,,69,,,,0.5
2017-12-14,23:00,,,,68,,,,0.5
2017-12-15,00:00,,,,65,,,,2.7
2017-12-15,01:00,,,,63,,,,3.3
2017-12-15,02:00,,,,64,,,,2.7
2017-12-15,03:00,,,,63,,,,1.6
2017-12-15,04:00,,,,63,,,,2.8
2017-12-15,05:00,,,,62,,,,4.3
2017-12-15,06:00,,,,65,,,,0.5
2017-12-15,07:00,,,,59,,,,3.6
2017-12-15,08:00,,,,56,,,,6.4
2017-12-15,09:00,,,,55,,,,0.5
2017-12-15,10:00,,,,63,,,,0.5
2017-12-15,11:00,,,,67,,,,0.5
2017-12-15,12:00,,,,64,,,,0.5
2017-12-15,13:00,,,,66,,,,0.5
2017-12-15,14:00,,,,74,,,,0.5
2017-12-15,15:00,,,,78,,,,0.5
2017-12-15,16:00,,,,78,,,,0.5
2017-12-15,17:00,,,,76,,,,0.5
2017-12-15,18:00,,,,76,,,,0.5
2017-12-15,19:00,,,,68,,,,3.7
2017-12-15,20:00,,,,64,,,,3.5
2017-12-15,21:00,,,,58,,,,2.0
2017-12-15,22:00,,,,57,,,,0.5
2017-12-15,23:00,,,,50,,,,0.5
2017-12-16,00:00,,,,53,,,,0.5
2017-12-16,01:00,,,,52,,,,0.5
2017-12-16,02:00,,,,48,,,,0.5
2017-12-16,03:00,,,,47,,,,0.5
2017-12-16,04:00,,,,48,,,,0.5
2017-12-16,05:00,,,,49,,,,0.5
