Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
2010-03-26,07:00,,,,,,,,1.0
2010-03-26,08:00,,,,,,,,1.0
2010-03-26,09:00,,,,,,,,1.2
2010-03-26,10:00,,,,,,,,3.6
2010-03-26,11:00,,,,,,,,3.0
2010-03-26,12:00,,,,,,,,2.8
2010-03-26,13:00,,,,,,,,8.3
2010-03-26,14:00,,,,,,,,7.9
2010-03-26,15:00,,,,,,,,5.5
2010-03-26,16:00,,,,,,,,5.4
2010-03-26,17:00,,,,,,,,3.2
2010-03-26,18:00,,,,,,,,5.1
2010-03-26,19:00,,,,,,,,3.7
2010-03-26,20:00,,,,,,,,1.0
2010-03-26,21:00,,,,,,,,1.0
2010-03-26,22:00,,,,,,,,1.0
2010-03-26,23:00,,,,,,,,1.0
2010-03-27,00:00,,,,,,,,1.0
2010-03-27,01:00,,,,,,,,1.0
2010-03-27,02:00,,,,,,,,1.0
2010-03-27,03:00,,,,,,,,1.0
2010-03-27,04:00,,,,,,,,1.0
2010-03-27,05:00,,,,,,,,1.0
2010-03-27,06:00,,,,,,,,1.0
2010-03-27,07:00,,,,,,,,1.0
2010-03-27,08:00,,,,,,,,1.0
2010-03-27,09:00,,,,,,,,1.0
2010-03-27,10:00,,,,,,,,1.0
2010-03-27,11:00,,,,,,,,1.0
2010-03-27,12:00,,,,,,,,1.0
2010-03-27,13:00,,,,,,,,1.0
2010-03-27,14:00,,,,,,,,1.0
2010-03-27,15:00,,,,,,,,1.0
2010-03-27,16:00,,,,,,,,1.0
2010-03-27,17:00,,,,,,,,1.0
2010-03-27,18:00,,,,,,,,1.0
2010-03-27,19:00,,,,,,,,1.0
2010-03-27,20:00,,,,,,,,1.0
2010-03-27,21:00,,,,,,,,1.0
2010-03-27,22:00,,,,,,,,1.0
2010-03-27,23:00,,,,,,,,1.0
2010-03-28,00:00,,,,,,,,1.0
2010-03-28,01:00,,,,,,,,1.0
2010-03-28,02:00,,,,,,,,1.0
2010-03-28,03:00,,,,,,,,1.0
2010-03-28,04:00,,,,,,,,1.0
2010-03-28,05:00,,,,,,,,1.0
2010-03-28,06:00,,,,,,,,1.0
2010-03-28,07:00,,,,,,,,1.0
2010-03-28,08:00,,,,,,,,1.0
2010-03-28,09:00,,,,,,,,1.0
2010-03-28,10:00,,,,,,,,1.0
2010-03-28,11:00,,,,,,,,1.0
2010-03-28,12:00,,,,,,,,1.0
2010-03-28,13:00,,,,,,,,1.0
2010-03-28,14:00,,,,,,,,1.0
2010-03-28,15:00,,,,,,,,1.0
2010-03-28,16:00,,,,,,,,1.0
2010-03-28,17:00,,,,,,,,1.0
2010-03-28,18:00,,,,,,,,1.0
2010-03-28,19:00,,,,,,,,1.0
2010-03-28,20:00,,,,,,,,1.0
2010-03-28,21:00,,,,,,,,1.0
2010-03-28,22:00,,,,,,,,1.0
2010-03-28,23:00,,,,,,,,1.0
2010-03-29,00:00,,,,,,,,1.0
2010-03-29,01:00,,,,,,,,1.0
2010-03-29,02:00,,,,,,,,1.0
2010-03-29,03:00,,,,,,,,1.0
2010-03-29,04:00,,,,,,,,1.0
2010-03-29,05:00,,,,,,,,1.0
2010-03-29,06:00,,,,,,,,1.0
2010-03-29,07:00,,,,,,,,2.4
2010-03-29,08:00,,,,,,,,7.7
2010-03-29,09:00,,,,,,,,4.0
2010-03-29,10:00,,,,,,,,1.0
2010-03-29,11:00,,,,,,,,1.0
2010-03-29,12:00,,,,,,,,1.0
2010-03-29,13:00,,,,,,,,1.0
2010-03-29,14:00,,,,,,,,1.0
2010-03-29,15:00,,,,,,,,1.0
2010-03-29,16:00,,,,,,,,1.0
2010-03-29,17:00,,,,,,,,1.0
2010-03-29,18:00,,,,,,,,1.0
2010-03-29,19:00,,,,,,,,1.0
2010-03-29,20:00,,,,,,,,1.0
2010-03-29,21:00,,,,,,,,1.0
2010-03-29,22:00,,,,,,,,1.0
2010-03-29,23:00,,,,,,,,1.0
2010-03-30,00:00,,,,,,,,7.2
2010-03-30,01:00,,,,,,,,1.4
2010-03-30,02:00,,,,,,,,1.0
2010-03-30,03:00,,,,,,,,1.0
2010-03-30,04:00,,,,,,,,1.0
2010-03-30,05:00,,,,,,,,1.0
2010-03-30,06:00,,,,,,,,1.0
2010-03-30,07:00,,,,,,,,1.2
2010-03-30,08:00,,,,,,,,1.5
2010-03-30,09:00,,,,,,,,1.5
2010-03-30,10:00,,,,,,,,4.6
2010-03-30,11:00,,,,,,,,16.4
2010-03-30,12:00,,,,,,,,22.2
2010-03-30,13:00,,,,,,,,8.2
2010-03-30,14:00,,,,,,,,2.6
2010-03-30,15:00,,,,,,,,2.4
2010-03-30,16:00,,,,,,,,2.9
2010-03-30,17:00,,,,,,,,9.5
2010-03-30,18:00,,,,,,,,63.9
2010-03-30,19:00,,,,,,,,23.2
2010-03-30,20:00,,,,,,,,14.4
2010-03-30,21:00,,,,,,,,15.1
2010-03-30,22:00,,,,,,,,4.6
2010-03-30,23:00,,,,,,,,1.0
2010-03-31,00:00,,,,,,,,1.0
2010-03-31,01:00,,,,,,,,1.0
2010-03-31,02:00,,,,,,,,1.0
2010-03-31,03:00,,,,,,,,1.0
2010-03-31,04:00,,,,,,,,1.0
2010-03-31,05:00,,,,,,,,1.0
2010-03-31,06:00,,,,,,,,1.0
2010-03-31,07:00,,,,,,,,1.0
2010-03-31,08:00,,,,,,,,1.0
2010-03-31,09:00,,,,,,,,1.0
2010-03-31,10:00,,,,,,,,1.0
2010-03-31,11:00,,,,,,,,1.0
2010-03-31,12:00,,,,,,,,1.0
2010-03-31,13:00,,,,,,,,1.0
2010-03-31,14:00,,,,,,,,1.0
2010-03-31,15:00,,,,,,,,1.0
2010-03-31,16:00,,,,,,,,1.0
2010-03-31,17:00,,,,,,,,1.0
2010-03-31,18:00,,,,,,,,1.0
2010-03-31,19:00,,,,,,,,1.0
2010-03-31,20:00,,,,,,,,1.0
2010-03-31,21:00,,,,,,,,1.0
2010-03-31,22:00,,,,,,,,1.0
2010-03-31,23:00,,,,,,,,1.0
2010-04-01,00:00,,,,,,,,1.0
