Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
2017-02-07,12:00,,86,42,19,,
2017-02-07,13:00,,95,46,20,,
2017-02-07,14:00,,94,44,23,,
2017-02-07,15:00,,100,51,20,,
2017-02-07,16:00,,118,59,21,,
2017-02-07,17:00,,116,59,16,,
2017-02-07,18:00,,97,54,14,,
2017-02-07,19:00,,66,45,20,,
2017-02-07,20:00,,27,31,28,,
2017-02-07,21:00,,28,27,31,,
2017-02-07,22:00,,17,24,30,,
2017-02-07,23:00,,10,20,30,,
2017-02-08,00:00,,5,18,31,,
2017-02-08,01:00,,3,14,35,,
2017-02-08,02:00,,1,12,39,,
2017-02-08,03:00,,2,12,43,,
2017-02-08,04:00,,1,12,45,,
2017-02-08,05:00,,5,13,46,,
2017-02-08,06:00,,17,18,44,,
2017-02-08,07:00,,46,33,37,,
2017-02-08,08:00,,79,47,25,,
2017-02-08,09:00,,102,50,24,,
2017-02-08,10:00,,74,43,24,,
2017-02-08,11:00,,68,39,29,,
2017-02-08,12:00,,69,41,32,,
2017-02-08,13:00,,77,46,31,,
2017-02-08,14:00,,121,53,27,,
2017-02-08,15:00,,112,62,27,,
2017-02-08,16:00,,127,65,25,,
2017-02-08,17:00,,123,67,23,,
2017-02-08,18:00,,94,55,27,,
2017-02-08,19:00,,95,59,23,,
2017-02-08,20:00,,40,40,29,,
2017-02-08,21:00,,34,38,33,,
2017-02-08,22:00,,24,30,35,,
2017-02-08,23:00,,15,27,34,,
2017-02-09,00:00,,9,22,36,,
2017-02-09,01:00,,4,19,39,,
2017-02-09,02:00,,3,17,40,,
2017-02-09,03:00,,4,16,41,,
2017-02-09,04:00,,1,15,43,,
2017-02-09,05:00,,5,21,37,,
2017-02-09,06:00,,16,24,34,,
2017-02-09,07:00,,48,36,34,,
2017-02-09,08:00,,118,55,24,,
2017-02-09,09:00,,90,60,22,,
2017-02-09,10:00,,76,50,28,,
2017-02-09,11:00,,56,42,34,,
2017-02-09,12:00,,63,42,37,,
2017-02-09,13:00,,64,42,38,,
2017-02-09,14:00,,71,47,35,,
2017-02-09,15:00,,74,53,35,,
2017-02-09,16:00,,156,76,24,,
2017-02-09,17:00,,127,71,23,,
2017-02-09,18:00,,67,54,30,,
2017-02-09,19:00,,40,45,30,,
2017-02-09,20:00,,18,37,32,,
2017-02-09,21:00,,18,35,33,,
2017-02-09,22:00,,9,30,34,,
2017-02-09,23:00,,9,29,33,,
2017-02-10,00:00,,10,27,34,,
2017-02-10,01:00,,7,24,36,,
2017-02-10,02:00,,1,21,36,,
2017-02-10,03:00,,2,25,30,,
2017-02-10,04:00,,2,21,35,,
2017-02-10,05:00,,24,36,25,,
2017-02-10,06:00,,84,58,3,,
2017-02-10,07:00,,215,82,3,,
2017-02-10,08:00,,182,86,4,,
2017-02-10,09:00,,158,75,7,,
2017-02-10,10:00,,162,72,10,,
2017-02-10,11:00,,108,60,17,,
2017-02-10,12:00,,125,65,14,,
2017-02-10,13:00,,217,94,9,,
2017-02-10,14:00,,189,83,15,,
2017-02-10,15:00,,186,97,11,,
2017-02-10,16:00,,207,103,9,,
2017-02-10,17:00,,198,100,15,,
2017-02-10,18:00,,151,100,13,,
2017-02-10,19:00,,159,100,11,,
2017-02-10,20:00,,86,71,25,,
2017-02-10,21:00,,22,34,47,,
2017-02-10,22:00,,9,20,55,,
2017-02-10,23:00,,10,18,58,,
2017-02-11,00:00,,5,15,59,,
2017-02-11,01:00,,4,12,60,,
2017-02-11,02:00,,3,11,59,,
2017-02-11,03:00,,3,11,59,,
2017-02-11,04:00,,2,13,57,,
2017-02-11,05:00,,3,13,58,,
2017-02-11,06:00,,4,14,58,,
2017-02-11,07:00,,8,16,57,,
2017-02-11,08:00,,6,18,56,,
2017-02-11,09:00,,13,23,53,,
2017-02-11,10:00,,22,27,54,,
2017-02-11,11:00,,24,27,57,,
2017-02-11,12:00,,19,25,58,,
2017-02-11,13:00,,16,22,58,,
2017-02-11,14:00,,24,32,51,,
2017-02-11,15:00,,27,35,46,,
2017-02-11,16:00,,29,39,48,,
2017-02-11,17:00,,52,43,46,,
2017-02-11,18:00,,49,37,48,,
2017-02-11,19:00,,50,38,47,,
2017-02-11,20:00,,21,29,54,,
2017-02-11,21:00,,17,26,53,,
2017-02-11,22:00,,9,35,39,,
2017-02-11,23:00,,33,47,30,,
2017-02-12,00:00,,18,29,51,,
2017-02-12,01:00,,2,17,58,,
2017-02-12,02:00,,1,17,58,,
2017-02-12,03:00,,1,14,60,,
2017-02-12,04:00,,1,9,67,,
2017-02-12,05:00,,1,10,66,,
2017-02-12,06:00,,2,11,64,,
2017-02-12,07:00,,7,15,62,,
2017-02-12,08:00,,1,10,68,,
2017-02-12,09:00,,6,14,65,,
2017-02-12,10:00,,10,17,64,,
2017-02-12,11:00,,16,22,63,,
2017-02-12,12:00,,12,19,68,,
2017-02-12,13:00,,15,22,70,,
2017-02-12,14:00,,17,26,70,,
2017-02-12,15:00,,28,40,64,,
2017-02-12,16:00,,28,44,63,,
2017-02-12,17:00,,60,69,47,,
2017-02-12,18:00,,59,71,38,,
2017-02-12,19:00,,51,59,37,,
2017-02-12,20:00,,65,75,19,,
2017-02-12,21:00,,35,62,23,,
2017-02-12,22:00,,18,51,25,,
2017-02-12,23:00,,22,49,22,,
2017-02-13,00:00,,5,38,25,,
2017-02-13,01:00,,52,56,5,,
2017-02-13,02:00,,12,44,12,,
2017-02-13,03:00,,18,48,6,,
2017-02-13,04:00,,40,55,4,,
2017-02-13,05:00,,70,61,2,,
2017-02-13,06:00,,179,76,2,,
2017-02-13,07:00,,243,93,2,,
2017-02-13,08:00,,259,93,2,,
2017-02-13,09:00,,189,85,7,,
2017-02-13,10:00,,153,69,11,,
2017-02-13,11:00,,132,73,14,,
2017-02-13,12:00,,138,76,19,,
2017-02-13,13:00,,99,72,36,,
2017-02-13,14:00,,72,62,52,,
2017-02-13,15:00,,64,61,69,,
2017-02-13,16:00,,129,97,42,,
2017-02-13,17:00,,130,96,33,,
2017-02-13,18:00,,172,123,17,,
2017-02-13,19:00,,262,150,8,,
2017-02-13,20:00,,236,141,2,,
2017-02-13,21:00,,216,126,2,,
2017-02-13,22:00,,100,98,13,,
2017-02-13,23:00,,28,69,28,,
2017-02-14,00:00,,34,65,23,,
2017-02-14,01:00,,10,38,47,,
2017-02-14,02:00,,7,37,45,,
2017-02-14,03:00,,4,31,45,,
2017-02-14,04:00,,2,27,57,,
2017-02-14,05:00,,33,46,42,,
2017-02-14,06:00,,15,35,55,,
2017-02-14,07:00,,40,56,40,,
2017-02-14,08:00,,52,68,30,,
2017-02-14,09:00,,60,65,42,,
2017-02-14,10:00,,61,58,49,,
2017-02-14,11:00,,27,42,63,,
2017-02-14,12:00,,36,45,66,,
2017-02-14,13:00,,35,40,73,,
2017-02-14,14:00,,28,36,76,,
2017-02-14,15:00,,26,36,81,,
2017-02-14,16:00,,34,49,71,,
2017-02-14,17:00,,76,71,56,,
2017-02-14,18:00,,85,92,34,,
2017-02-14,19:00,,64,86,37,,
2017-02-14,20:00,,27,53,58,,
2017-02-14,21:00,,56,87,27,,
2017-02-14,22:00,,26,54,54,,
2017-02-14,23:00,,17,47,57,,
2017-02-15,00:00,,4,32,64,,
2017-02-15,01:00,,4,37,53,,
2017-02-15,02:00,,1,32,57,,
2017-02-15,03:00,,2,34,51,,
2017-02-15,04:00,,6,41,36,,
2017-02-15,05:00,,10,38,44,,
2017-02-15,06:00,,21,42,44,,
2017-02-15,07:00,,51,60,34,,
2017-02-15,08:00,,62,72,29,,
2017-02-15,09:00,,54,61,36,,
2017-02-15,10:00,,113,74,32,,
2017-02-15,11:00,,100,73,35,,
