Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
2018-10-02,13:00,,1018,75.4,2,2,70,,,1.1,244,4.0,6.7,251
2018-10-02,14:00,,1018,77.0,2,2,68,,,1.1,159,4.1,5.7,246
2018-10-02,15:00,,1017,83.7,1,2,64,,,1.1,126,3.4,7.5,238
2018-10-02,16:00,,1016,86.5,1,3,63,,,1.1,62,3.2,8.0,39
2018-10-02,17:00,,1016,87.7,1,2,65,,,1.1,14,3.3,7.9,231
2018-10-02,18:00,,1016,91.7,1,3,62,,,0.5,0,3.2,7.9,237
2018-10-02,19:00,,1015,92.0,1,4,59,,,1.0,0,3.5,7.5,247
2018-10-02,20:00,,1016,95.4,1,5,54,,,0.5,0,3.7,6.9,253
2018-10-02,21:00,,1015,96.8,1,5,51,,,0.5,0,4.3,7.3,264
2018-10-02,22:00,,1015,97.0,1,5,52,,,0.5,0,4.8,6.9,266
2018-10-02,23:00,,1015,96.5,1,4,52,,,0.5,0,5.1,7.4,272
2018-10-03,00:00,,1015,95.7,1,4,53,,,0.5,0,5.3,8.2,269
2018-10-03,01:00,,1015,94.3,1,3,55,,,0.5,0,5.5,8.9,270
2018-10-03,02:00,,1015,91.5,1,3,57,,,0.5,0,5.5,8.1,278
2018-10-03,03:00,,1015,88.0,1,3,61,,,1.1,0,5.2,8.5,291
2018-10-03,04:00,,1015,85.1,1,2,67,,,1.2,0,4.4,9.0,298
2018-10-03,05:00,,1015,86.1,1,2,69,,,1.3,0,4.1,7.7,303
2018-10-03,06:00,,1015,88.6,1,2,68,,,1.1,0,4.3,7.9,301
2018-10-03,07:00,,1016,87.0,1,2,68,,,1.5,25,4.4,8.1,302
2018-10-03,08:00,,1017,72.3,1,1,75,,,1.2,216,5.1,8.2,299
2018-10-03,09:00,,1017,65.2,1,1,77,,,1.1,349,6.6,8.3,294
2018-10-03,10:00,,1018,72.7,1,1,74,,,1.2,173,6.1,8.1,300
2018-10-03,11:00,,1019,83.9,2,1,70,,,1.2,298,5.8,6.6,301
2018-10-03,12:00,,1019,79.6,2,1,71,,,1.1,369,6.5,7.2,293
2018-10-03,13:00,,1019,68.7,1,1,75,,,1.1,302,7.5,8.9,301
2018-10-03,14:00,,1019,66.7,1,1,74,,,1.2,263,7.7,8.6,304
2018-10-03,15:00,,1019,71.1,1,1,73,,,1.2,236,7.1,9.1,311
2018-10-03,16:00,,1020,71.5,1,1,72,,,1.3,233,7.3,8.2,313
2018-10-03,17:00,,1021,68.6,1,2,71,,,1.4,73,7.2,6.2,317
2018-10-03,18:00,,1022,72.9,1,3,68,,,2.0,9,6.7,5.9,321
2018-10-03,19:00,,1023,82.3,1,4,63,,,1.5,0,5.7,5.1,324
2018-10-03,20:00,,1024,85.8,1,4,61,,,1.4,0,5.4,3.9,313
2018-10-03,21:00,,1025,85.1,1,4,61,,,1.5,0,5.5,3.6,314
2018-10-03,22:00,,1025,82.5,1,3,60,,,1.5,0,5.5,3.8,313
2018-10-03,23:00,,1026,82.0,1,4,60,,,1.9,0,5.4,4.1,314
2018-10-04,00:00,,1026,82.6,1,3,62,,,1.8,0,5.3,4.1,310
2018-10-04,01:00,,1026,84.7,1,3,61,,,1.8,0,4.9,4.6,339
2018-10-04,02:00,,1026,87.5,1,3,64,,,2.3,0,4.5,5.0,318
2018-10-04,03:00,,1026,87.4,1,3,62,,,4.5,0,4.4,4.6,320
2018-10-04,04:00,,1027,88.0,1,3,60,,,4.8,0,4.0,3.7,313
2018-10-04,05:00,,1027,88.3,1,4,57,,,6.1,0,3.3,3.1,311
2018-10-04,06:00,,1027,89.9,1,3,60,,,3.0,0,3.0,3.4,306
2018-10-04,07:00,,1027,90.5,1,3,59,,,1.9,21,2.7,3.5,311
2018-10-04,08:00,,1027,87.2,2,3,63,,,1.7,137,3.8,3.4,306
2018-10-04,09:00,,1028,82.6,2,2,68,,,1.6,211,5.2,4.0,297
2018-10-04,10:00,,1028,78.8,1,2,75,,,1.5,266,6.5,4.0,288
2018-10-04,11:00,,1028,75.7,2,2,75,,,1.4,269,7.2,4.1,265
2018-10-04,12:00,,1027,69.7,2,1,77,,,1.5,585,8.8,4.8,252
2018-10-04,13:00,,1026,65.2,2,2,75,,,1.4,533,10.3,3.3,250
2018-10-04,14:00,,1026,65.7,2,2,73,,,1.4,379,10.4,2.9,269
2018-10-04,15:00,,1026,64.5,2,1,73,,,1.4,406,11.1,3.4,251
2018-10-04,16:00,,1025,64.5,1,1,72,,,1.3,293,11.5,3.0,249
2018-10-04,17:00,,1025,67.6,1,2,70,,,1.4,127,11.1,2.5,258
2018-10-04,18:00,,1026,74.9,1,3,61,,,1.4,15,9.7,1.9,200
2018-10-04,19:00,,1026,76.4,1,7,64,,,8.7,0,8.8,2.7,191
2018-10-04,20:00,,1026,76.2,1,9,64,,,8.8,0,8.3,2.3,170
2018-10-04,21:00,,1027,76.1,1,9,60,,,5.3,0,7.8,3.2,161
2018-10-04,22:00,,1027,79.0,1,9,63,,,5.9,0,6.3,3.2,159
2018-10-04,23:00,,1027,80.2,1,8,67,,,7.2,0,5.6,2.8,171
2018-10-05,00:00,,1028,81.6,2,9,64,,,7.5,0,5.1,3.3,174
2018-10-05,01:00,,1027,81.4,1,11,61,,,9.8,0,5.3,4.1,181
2018-10-05,02:00,,1027,81.0,1,10,62,,,9.1,0,5.4,4.3,190
2018-10-05,03:00,,1026,80.3,1,7,66,,,6.2,0,5.4,4.7,198
2018-10-05,04:00,,1026,81.1,1,7,66,,,5.0,0,5.2,3.6,193
2018-10-05,05:00,,1026,83.5,1,10,57,,,8.9,0,4.6,4.0,188
2018-10-05,06:00,,1026,83.9,1,11,57,,,10.1,0,4.4,4.3,185
2018-10-05,07:00,,1026,84.1,1,10,61,,,8.3,20,4.3,4.8,191
2018-10-05,08:00,,1025,75.1,2,4,71,,,3.4,160,7.0,5.3,201
2018-10-05,09:00,,1024,69.7,3,7,65,,,5.0,313,8.9,5.1,194
2018-10-05,10:00,,1024,68.2,5,10,60,,,13.5,443,9.5,5.0,184
2018-10-05,11:00,,1023,64.2,4,9,66,,,10.8,549,10.8,5.6,187
2018-10-05,12:00,,1022,61.7,5,12,67,,,13.3,612,11.5,6.4,189
2018-10-05,13:00,,1022,62.5,9,20,60,,,18.9,605,11.7,6.0,176
2018-10-05,14:00,,1021,59.4,4,10,75,,,14.7,539,12.2,6.5,178
2018-10-05,15:00,,1020,60.1,4,12,71,,,14.1,435,12.3,6.5,176
2018-10-05,16:00,,1020,62.4,4,16,69,,,14.3,302,12.0,7.0,182
2018-10-05,17:00,,1020,66.4,3,17,67,,,13.6,142,11.0,6.1,182
2018-10-05,18:00,,1020,72.7,1,13,70,,,5.7,13,9.4,6.5,175
2018-10-05,19:00,,1020,74.1,1,11,73,,,4.6,0,8.8,6.8,168
2018-10-05,20:00,,1020,74.2,1,9,76,,,6.0,0,9.3,7.7,174
2018-10-05,21:00,,1019,75.1,1,16,67,,,9.7,0,9.4,6.7,172
2018-10-05,22:00,,1019,80.8,1,11,67,,,5.3,0,8.5,7.6,169
2018-10-05,23:00,,1019,84.0,1,11,65,,,5.4,0,7.9,7.5,172
2018-10-06,00:00,,1019,84.5,1,8,70,,,4.3,0,7.3,6.5,168
2018-10-06,01:00,,1019,82.6,1,9,69,,,6.4,0,6.8,7.7,163
2018-10-06,02:00,,1018,82.5,2,7,72,,,6.5,0,6.5,7.6,161
2018-10-06,03:00,,1018,85.3,2,8,70,,,7.4,0,6.0,7.1,161
2018-10-06,04:00,,1018,88.2,2,7,68,,,5.8,0,5.4,6.4,162
2018-10-06,05:00,,1017,90.2,2,7,67,,,5.8,0,4.9,6.3,168
2018-10-06,06:00,,1017,92.7,1,10,61,,,8.4,0,4.6,6.4,173
2018-10-06,07:00,,1017,90.6,1,10,64,,,11.5,18,5.1,6.7,186
2018-10-06,08:00,,1016,85.2,2,5,73,,,4.6,140,6.8,5.2,182
2018-10-06,09:00,,1015,78.6,2,6,70,,,5.9,280,8.8,4.8,176
2018-10-06,10:00,,1015,75.4,4,9,66,,,8.5,391,9.8,5.2,169
