Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
2017-09-03,21:00,,,,73,,1.5
2017-09-03,22:00,,,,76,,1.5
2017-09-03,23:00,,,,75,,1.6
2017-09-04,00:00,,,,75,,1.3
2017-09-04,01:00,,,,77,,1.0
2017-09-04,02:00,,,,76,,0.5
2017-09-04,03:00,,,,75,,0.5
2017-09-04,04:00,,,,77,,0.5
2017-09-04,05:00,,,,76,,0.5
2017-09-04,06:00,,,,75,,0.5
2017-09-04,07:00,,,,72,,0.5
2017-09-04,08:00,,,,73,,0.5
2017-09-04,09:00,,,,80,,0.5
2017-09-04,10:00,,,,82,,0.5
2017-09-04,11:00,,,,81,,0.5
2017-09-04,12:00,,,,83,,0.5
2017-09-04,13:00,,,,86,,0.5
2017-09-04,14:00,,,,86,,0.5
2017-09-04,15:00,,,,89,,0.5
2017-09-04,16:00,,,,87,,0.5
2017-09-04,17:00,,,,88,,0.5
2017-09-04,18:00,,,,86,,0.5
2017-09-04,19:00,,,,81,,0.5
2017-09-04,20:00,,,,84,,0.5
2017-09-04,21:00,,,,86,,0.5
2017-09-04,22:00,,,,87,,0.5
2017-09-04,23:00,,,,88,,0.5
2017-09-05,00:00,,,,88,,0.5
2017-09-05,01:00,,,,90,,0.5
2017-09-05,02:00,,,,90,,0.5
2017-09-05,03:00,,,,92,,0.5
2017-09-05,04:00,,,,90,,0.5
2017-09-05,05:00,,,,92,,0.5
2017-09-05,06:00,,,,95,,0.5
2017-09-05,07:00,,,,95,,0.5
2017-09-05,08:00,,,,95,,0.5
2017-09-05,09:00,,,,97,,0.5
2017-09-05,10:00,,,,102,,0.5
2017-09-05,11:00,,,,101,,0.5
2017-09-05,12:00,,,,102,,0.5
2017-09-05,13:00,,,,99,,0.5
2017-09-05,14:00,,,,100,,0.5
2017-09-05,15:00,,,,99,,0.5
2017-09-05,16:00,,,,97,,0.5
2017-09-05,17:00,,,,93,,0.5
2017-09-05,18:00,,,,87,,0.5
2017-09-05,19:00,,,,77,,0.5
2017-09-05,20:00,,,,69,,0.5
2017-09-05,21:00,,,,64,,0.5
2017-09-05,22:00,,,,61,,0.5
2017-09-05,23:00,,,,63,,0.5
2017-09-06,00:00,,,,66,,0.5
2017-09-06,01:00,,,,69,,0.5
2017-09-06,02:00,,,,73,,0.5
2017-09-06,03:00,,,,78,,0.5
2017-09-06,04:00,,,,75,,0.5
2017-09-06,05:00,,,,72,,0.5
2017-09-06,06:00,,,,70,,0.5
2017-09-06,07:00,,,,63,,0.5
2017-09-06,08:00,,,,53,,0.5
2017-09-06,09:00,,,,49,,0.5
2017-09-06,10:00,,,,54,,0.5
2017-09-06,11:00,,,,64,,0.5
2017-09-06,12:00,,,,65,,0.5
2017-09-06,13:00,,,,69,,0.5
2017-09-06,14:00,,,,74,,0.5
2017-09-06,15:00,,,,76,,0.5
2017-09-06,16:00,,,,77,,0.5
2017-09-06,17:00,,,,63,,0.5
2017-09-06,18:00,,,,62,,0.5
2017-09-06,19:00,,,,66,,0.5
2017-09-06,20:00,,,,65,,0.5
2017-09-06,21:00,,,,66,,0.5
2017-09-06,22:00,,,,67,,0.5
2017-09-06,23:00,,,,65,,0.5
2017-09-07,00:00,,,,58,,0.5
2017-09-07,01:00,,,,59,,0.5
2017-09-07,02:00,,,,60,,0.5
2017-09-07,03:00,,,,61,,0.5
2017-09-07,04:00,,,,62,,0.5
2017-09-07,05:00,,,,63,,0.5
2017-09-07,06:00,,,,59,,0.5
2017-09-07,07:00,,,,59,,0.5
2017-09-07,08:00,,,,59,,0.5
2017-09-07,09:00,,,,60,,0.5
2017-09-07,10:00,,,,59,,0.5
2017-09-07,11:00,,,,63,,0.5
2017-09-07,12:00,,,,63,,0.5
2017-09-07,13:00,,,,62,,0.5
2017-09-07,14:00,,,,66,,0.5
2017-09-07,15:00,,,,72,,0.5
2017-09-07,16:00,,,,72,,0.5
2017-09-07,17:00,,,,70,,0.5
2017-09-07,18:00,,,,68,,0.5
2017-09-07,19:00,,,,67,,0.5
2017-09-07,20:00,,,,69,,0.5
2017-09-07,21:00,,,,69,,0.5
2017-09-07,22:00,,,,67,,0.5
2017-09-07,23:00,,,,69,,0.5
2017-09-08,00:00,,,,71,,0.5
2017-09-08,01:00,,,,71,,0.5
2017-09-08,02:00,,,,71,,0.5
2017-09-08,03:00,,,,72,,0.5
2017-09-08,04:00,,,,70,,0.5
2017-09-08,05:00,,,,68,,0.5
2017-09-08,06:00,,,,70,,0.5
2017-09-08,07:00,,,,70,,0.5
2017-09-08,08:00,,,,67,,0.5
2017-09-08,09:00,,,,67,,0.5
2017-09-08,10:00,,,,63,,2.9
2017-09-08,11:00,,,,70,,3.4
2017-09-08,12:00,,,,78,,2.8
2017-09-08,13:00,,,,77,,2.5
2017-09-08,14:00,,,,71,,3.6
2017-09-08,15:00,,,,74,,0.5
2017-09-08,16:00,,,,72,,2.6
2017-09-08,17:00,,,,71,,4.8
2017-09-08,18:00,,,,71,,5.8
2017-09-08,19:00,,,,73,,2.0
2017-09-08,20:00,,,,72,,4.5
2017-09-08,21:00,,,,70,,6.1
2017-09-08,22:00,,,,66,,9.9
2017-09-08,23:00,,,,71,,8.0
2017-09-09,00:00,,,,73,,9.4
2017-09-09,01:00,,,,72,,4.5
2017-09-09,02:00,,,,73,,1.6
2017-09-09,03:00,,,,74,,1.5
2017-09-09,04:00,,,,72,,4.6
2017-09-09,05:00,,,,68,,6.6
2017-09-09,06:00,,,,73,,3.0
2017-09-09,07:00,,,,76,,1.1
2017-09-09,08:00,,,,79,,1.3
2017-09-09,09:00,,,,77,,0.5
2017-09-09,10:00,,,,75,,0.5
