Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
2018-01-02,23:00,,1,3,62,,,,0.5
2018-01-03,00:00,,1,2,62,,,,0.5
2018-01-03,01:00,,1,3,61,,,,1.4
2018-01-03,02:00,,1,9,52,,,,9.2
2018-01-03,03:00,,1,6,53,,,,6.6
2018-01-03,04:00,,1,4,52,,,,0.5
2018-01-03,05:00,,1,10,44,,,,2.9
2018-01-03,06:00,,1,11,41,,,,2.8
2018-01-03,07:00,,1,13,41,,,,4.4
2018-01-03,08:00,,1,14,41,,,,3.8
2018-01-03,09:00,,1,9,47,,,,1.3
2018-01-03,10:00,,1,9,49,,,,0.5
2018-01-03,11:00,,1,7,54,,,,1.2
2018-01-03,12:00,,2,7,53,,,,1.3
2018-01-03,13:00,,2,5,59,,,,2.0
2018-01-03,14:00,,1,2,77,,,,0.5
2018-01-03,15:00,,1,1,89,,,,0.5
2018-01-03,16:00,,1,1,85,,,,0.5
2018-01-03,17:00,,1,2,81,,,,0.5
2018-01-03,18:00,,1,2,79,,,,0.5
2018-01-03,19:00,,1,3,77,,,,0.5
2018-01-03,20:00,,1,2,76,,,,0.5
2018-01-03,21:00,,1,2,76,,,,0.5
2018-01-03,22:00,,1,2,75,,,,0.5
2018-01-03,23:00,,1,2,76,,,,0.5
2018-01-04,00:00,,1,2,74,,,,0.5
2018-01-04,01:00,,1,2,74,,,,0.5
2018-01-04,02:00,,1,1,75,,,,0.5
2018-01-04,03:00,,1,1,75,,,,0.5
2018-01-04,04:00,,1,1,75,,,,0.5
2018-01-04,05:00,,1,1,75,,,,0.5
2018-01-04,06:00,,1,1,76,,,,0.5
2018-01-04,07:00,,1,1,76,,,,0.5
2018-01-04,08:00,,1,1,75,,,,0.5
2018-01-04,09:00,,1,1,75,,,,0.5
2018-01-04,10:00,,1,1,76,,,,0.5
2018-01-04,11:00,,1,1,77,,,,0.5
2018-01-04,12:00,,1,1,77,,,,0.5
2018-01-04,13:00,,1,1,76,,,,0.5
2018-01-04,14:00,,1,1,76,,,,0.5
2018-01-04,15:00,,1,5,68,,,,2.7
2018-01-04,16:00,,1,9,62,,,,5.2
2018-01-04,17:00,,1,9,62,,,,7.5
2018-01-04,18:00,,1,8,56,,,,1.7
2018-01-04,19:00,,1,5,60,,,,0.5
2018-01-04,20:00,,1,6,56,,,,2.7
2018-01-04,21:00,,1,6,53,,,,3.4
2018-01-04,22:00,,1,7,50,,,,3.1
2018-01-04,23:00,,1,6,49,,,,4.5
2018-01-05,00:00,,1,7,50,,,,5.3
2018-01-05,01:00,,1,4,63,,,,2.1
2018-01-05,02:00,,1,3,66,,,,0.5
2018-01-05,03:00,,1,3,67,,,,0.5
2018-01-05,04:00,,1,1,76,,,,0.5
2018-01-05,05:00,,1,1,78,,,,0.5
2018-01-05,06:00,,1,2,76,,,,0.5
2018-01-05,07:00,,1,1,77,,,,0.5
2018-01-05,08:00,,1,1,78,,,,0.5
2018-01-05,09:00,,1,1,78,,,,0.5
2018-01-05,10:00,,1,1,79,,,,0.5
2018-01-05,11:00,,1,5,73,,,,2.5
2018-01-05,12:00,,1,9,64,,,,5.1
2018-01-05,13:00,,1,6,67,,,,2.2
2018-01-05,14:00,,1,4,67,,,,0.5
2018-01-05,15:00,,1,2,73,,,,0.5
2018-01-05,16:00,,1,3,71,,,,0.5
2018-01-05,17:00,,1,3,68,,,,0.5
2018-01-05,18:00,,1,3,69,,,,0.5
2018-01-05,19:00,,1,2,81,,,,0.5
2018-01-05,20:00,,1,1,87,,,,0.5
2018-01-05,21:00,,1,1,85,,,,0.5
2018-01-05,22:00,,1,1,85,,,,0.5
2018-01-05,23:00,,1,1,83,,,,0.5
2018-01-06,00:00,,1,13,64,,,,14.5
2018-01-06,01:00,,1,14,58,,,,17.0
2018-01-06,02:00,,1,6,60,,,,2.1
2018-01-06,03:00,,1,3,65,,,,0.5
2018-01-06,04:00,,1,1,72,,,,0.5
2018-01-06,05:00,,1,1,74,,,,0.5
2018-01-06,06:00,,1,1,74,,,,0.5
2018-01-06,07:00,,1,1,75,,,,0.5
2018-01-06,08:00,,1,1,75,,,,0.5
2018-01-06,09:00,,1,1,71,,,,0.5
2018-01-06,10:00,,1,1,71,,,,0.5
2018-01-06,11:00,,1,2,67,,,,1.6
2018-01-06,12:00,,1,1,73,,,,0.5
2018-01-06,13:00,,1,1,78,,,,0.5
2018-01-06,14:00,,1,1,76,,,,0.5
2018-01-06,15:00,,2,12,53,,,,3.3
2018-01-06,16:00,,2,30,40,,,,39.1
2018-01-06,17:00,,1,18,48,,,,17.5
2018-01-06,18:00,,1,14,48,,,,7.0
2018-01-06,19:00,,1,32,32,,,,17.9
2018-01-06,20:00,,1,34,27,,,,17.4
2018-01-06,21:00,,1,17,40,,,,6.1
2018-01-06,22:00,,1,11,42,,,,1.8
2018-01-06,23:00,,1,11,40,,,,0.5
2018-01-07,00:00,,1,3,71,,,,0.5
2018-01-07,01:00,,1,2,77,,,,0.5
2018-01-07,02:00,,1,2,74,,,,0.5
2018-01-07,03:00,,1,4,63,,,,0.5
2018-01-07,04:00,,1,6,53,,,,1.0
2018-01-07,05:00,,1,8,50,,,,2.4
2018-01-07,06:00,,1,5,67,,,,1.6
2018-01-07,07:00,,1,7,58,,,,2.7
2018-01-07,08:00,,1,5,50,,,,0.5
2018-01-07,09:00,,1,5,44,,,,0.5
2018-01-07,10:00,,1,5,36,,,,0.5
2018-01-07,11:00,,1,5,31,,,,0.5
2018-01-07,12:00,,1,5,30,,,,0.5
2018-01-07,13:00,,2,5,29,,,,0.5
2018-01-07,14:00,,2,5,27,,,,0.5
2018-01-07,15:00,,2,5,28,,,,0.5
2018-01-07,16:00,,1,5,29,,,,0.5
2018-01-07,17:00,,2,6,30,,,,0.5
2018-01-07,18:00,,3,7,30,,,,0.5
2018-01-07,19:00,,1,5,31,,,,0.5
2018-01-07,20:00,,1,5,30,,,,0.5
2018-01-07,21:00,,1,5,30,,,,0.5
2018-01-07,22:00,,1,4,30,,,,0.5
2018-01-07,23:00,,1,4,30,,,,0.5
2018-01-08,00:00,,1,5,29,,,,0.5
2018-01-08,01:00,,1,4,30,,,,0.5
2018-01-08,02:00,,1,5,29,,,,0.5
2018-01-08,03:00,,1,5,30,,,,0.5
2018-01-08,04:00,,1,5,29,,,,0.5
2018-01-08,05:00,,1,5,28,,,,0.5
2018-01-08,06:00,,1,6,26,,,,0.5
2018-01-08,07:00,,4,8,26,,,,0.5
2018-01-08,08:00,,9,11,26,,,,0.5
2018-01-08,09:00,,1,6,36,,,,1.9
2018-01-08,10:00,,2,5,38,,,,2.3
2018-01-08,11:00,,1,4,54,,,,2.2
2018-01-08,12:00,,1,3,62,,,,0.5
2018-01-08,13:00,,1,2,61,,,,0.5
2018-01-08,14:00,,1,3,63,,,,0.5
2018-01-08,15:00,,1,3,62,,,,0.5
2018-01-08,16:00,,1,5,57,,,,0.5
2018-01-08,17:00,,1,5,58,,,,1.2
2018-01-08,18:00,,1,4,58,,,,1.1
2018-01-08,19:00,,1,4,59,,,,1.1
2018-01-08,20:00,,1,3,58,,,,1.3
2018-01-08,21:00,,1,6,51,,,,5.1
2018-01-08,22:00,,1,8,46,,,,9.2
2018-01-08,23:00,,1,7,44,,,,8.6
2018-01-09,00:00,,1,5,49,,,,4.6
2018-01-09,01:00,,1,4,50,,,,2.5
2018-01-09,02:00,,1,5,48,,,,2.9
2018-01-09,03:00,,1,7,44,,,,7.6
2018-01-09,04:00,,1,7,43,,,,6.1
2018-01-09,05:00,,1,7,42,,,,5.7
2018-01-09,06:00,,1,7,40,,,,7.1
2018-01-09,07:00,,1,7,39,,,,6.9
2018-01-09,08:00,,1,7,41,,,,6.5
2018-01-09,09:00,,1,7,43,,,,6.1
2018-01-09,10:00,,1,6,45,,,,4.9
2018-01-09,11:00,,1,6,46,,,,4.3
2018-01-09,12:00,,1,6,47,,,,3.7
2018-01-09,13:00,,1,6,48,,,,4.2
2018-01-09,14:00,,1,7,48,,,,5.2
2018-01-09,15:00,,1,9,47,,,,6.7
2018-01-09,16:00,,1,8,47,,,,5.9
2018-01-09,17:00,,1,7,48,,,,4.6
2018-01-09,18:00,,1,7,46,,,,5.4
2018-01-09,19:00,,1,9,45,,,,7.1
2018-01-09,20:00,,1,7,44,,,,5.8
2018-01-09,21:00,,1,8,42,,,,5.8
2018-01-09,22:00,,1,9,39,,,,7.3
2018-01-09,23:00,,1,9,38,,,,7.3
2018-01-10,00:00,,1,11,35,,,,7.8
2018-01-10,01:00,,1,11,33,,,,7.2
2018-01-10,02:00,,1,11,31,,,,6.2
2018-01-10,03:00,,1,11,29,,,,5.5
2018-01-10,04:00,,1,12,26,,,,6.5
2018-01-10,05:00,,1,11,25,,,,5.6
2018-01-10,06:00,,1,11,25,,,,4.8
2018-01-10,07:00,,1,11,23,,,,4.3
2018-01-10,08:00,,1,12,24,,,,5.2
2018-01-10,09:00,,1,19,19,,,,9.1
2018-01-10,10:00,,2,14,30,,,,9.9
2018-01-10,11:00,,3,12,30,,,,7.2
2018-01-10,12:00,,3,8,41,,,,1.9
2018-01-10,13:00,,3,10,34,,,,3.9
2018-01-10,14:00,,3,11,31,,,,3.7
2018-01-10,15:00,,3,14,25,,,,4.0
2018-01-10,16:00,,2,12,28,,,,3.3
2018-01-10,17:00,,1,12,33,,,,5.0
2018-01-10,18:00,,1,12,33,,,,6.5
2018-01-10,19:00,,1,9,47,,,,4.4
2018-01-10,20:00,,1,5,73,,,,3.7
2018-01-10,21:00,,1,4,77,,,,5.2
2018-01-10,22:00,,1,3,80,,,,2.0
2018-01-10,23:00,,1,4,70,,,,1.3
2018-01-11,00:00,,1,5,64,,,,0.5
2018-01-11,01:00,,1,11,57,,,,0.5
2018-01-11,02:00,,2,13,53,,,,0.5
2018-01-11,03:00,,1,10,54,,,,0.5
2018-01-11,04:00,,3,16,51,,,,0.5
2018-01-11,05:00,,1,4,56,,,,0.5
2018-01-11,06:00,,1,5,54,,,,1.5
2018-01-11,07:00,,1,4,56,,,,2.3
2018-01-11,08:00,,1,8,59,,,,1.8
2018-01-11,09:00,,4,21,46,,,,3.1
2018-01-11,10:00,,1,7,59,,,,3.4
2018-01-11,11:00,,1,6,64,,,,2.3
2018-01-11,12:00,,2,7,69,,,,1.5
2018-01-11,13:00,,1,4,69,,,,1.9
2018-01-11,14:00,,1,3,71,,,,2.3
2018-01-11,15:00,,2,9,64,,,,2.2
2018-01-11,16:00,,3,16,51,,,,1.9
2018-01-11,17:00,,1,17,40,,,,1.9
2018-01-11,18:00,,1,14,38,,,,1.6
2018-01-11,19:00,,1,12,43,,,,3.7
2018-01-11,20:00,,1,18,34,,,,3.2
2018-01-11,21:00,,2,21,32,,,,3.4
2018-01-11,22:00,,1,16,39,,,,3.9
2018-01-11,23:00,,1,17,36,,,,1.7
2018-01-12,00:00,,1,16,33,,,,1.4
2018-01-12,01:00,,1,10,49,,,,0.5
2018-01-12,02:00,,1,4,53,,,,1.0
2018-01-12,03:00,,1,4,53,,,,0.5
