Datum Zeit,Niesky DRUCK
20-02-19 12:00,1021
20-02-19 11:00,1021
20-02-19 10:00,1021
20-02-19 09:00,1020
20-02-19 08:00,1019
20-02-19 07:00,1019
20-02-19 06:00,1018
20-02-19 05:00,1018
20-02-19 04:00,1018
20-02-19 03:00,1018
20-02-19 02:00,1018
20-02-19 01:00,1017
20-02-19 00:00,1017
19-02-19 23:00,1017
19-02-19 22:00,1017
19-02-19 21:00,1017
19-02-19 20:00,1017
19-02-19 19:00,1016
19-02-19 18:00,1016
19-02-19 17:00,1016
19-02-19 16:00,1016
19-02-19 15:00,1015
19-02-19 14:00,1015
19-02-19 13:00,1015
19-02-19 12:00,1015
19-02-19 11:00,1015
19-02-19 10:00,1015
19-02-19 09:00,1015
19-02-19 08:00,1015
19-02-19 07:00,1015
19-02-19 06:00,1015
19-02-19 05:00,1015
19-02-19 04:00,1015
19-02-19 03:00,1015
19-02-19 02:00,1016
19-02-19 01:00,1016
19-02-19 00:00,1016
18-02-19 23:00,1016
18-02-19 22:00,1017
18-02-19 21:00,1017
18-02-19 20:00,1017
18-02-19 19:00,1017
18-02-19 18:00,1017
18-02-19 17:00,1018
18-02-19 16:00,1018
18-02-19 15:00,1018
18-02-19 14:00,1019
18-02-19 13:00,1020
18-02-19 12:00,1020
18-02-19 11:00,1021
18-02-19 10:00,1021
18-02-19 09:00,1021
18-02-19 08:00,1021
18-02-19 07:00,1020
18-02-19 06:00,1021
18-02-19 05:00,1021
18-02-19 04:00,1021
18-02-19 03:00,1021
18-02-19 02:00,1022
18-02-19 01:00,1022
18-02-19 00:00,1022
17-02-19 23:00,1022
17-02-19 22:00,1022
17-02-19 21:00,1022
17-02-19 20:00,1022
17-02-19 19:00,1022
17-02-19 18:00,1022
17-02-19 17:00,1022
17-02-19 16:00,1023
17-02-19 15:00,1023
17-02-19 14:00,1024
17-02-19 13:00,1024
17-02-19 12:00,1025
17-02-19 11:00,1025
17-02-19 10:00,1025
17-02-19 09:00,1025
17-02-19 08:00,1025
17-02-19 07:00,1025
17-02-19 06:00,1025
17-02-19 05:00,1025
17-02-19 04:00,1025
17-02-19 03:00,1025
17-02-19 02:00,1025
17-02-19 01:00,1025
17-02-19 00:00,1025
16-02-19 23:00,1025
16-02-19 22:00,1025
16-02-19 21:00,1025
16-02-19 20:00,1025
16-02-19 19:00,1025
16-02-19 18:00,1025
16-02-19 17:00,1025
16-02-19 16:00,1025
16-02-19 15:00,1026
16-02-19 14:00,1026
16-02-19 13:00,1027
16-02-19 12:00,1027
16-02-19 11:00,1027
16-02-19 10:00,1027
16-02-19 09:00,1028
16-02-19 08:00,1028
16-02-19 07:00,1028
16-02-19 06:00,1028
16-02-19 05:00,1028
16-02-19 04:00,1028
16-02-19 03:00,1029
16-02-19 02:00,1030
16-02-19 01:00,1030
16-02-19 00:00,1030
15-02-19 23:00,1030
15-02-19 22:00,1031
15-02-19 21:00,1031
15-02-19 20:00,1031
15-02-19 19:00,1032
15-02-19 18:00,1032
15-02-19 17:00,1032
15-02-19 16:00,1032
15-02-19 15:00,1033
15-02-19 14:00,1033
15-02-19 13:00,1033
15-02-19 12:00,1034
15-02-19 11:00,1034
15-02-19 10:00,1034
15-02-19 09:00,1034
15-02-19 08:00,1034
15-02-19 07:00,1033
15-02-19 06:00,1033
15-02-19 05:00,1034
15-02-19 04:00,1034
15-02-19 03:00,1034
15-02-19 02:00,1034
15-02-19 01:00,1034
15-02-19 00:00,1034
14-02-19 23:00,1034
14-02-19 22:00,1034
14-02-19 21:00,1034
14-02-19 20:00,1034
14-02-19 19:00,1034
14-02-19 18:00,1034
14-02-19 17:00,1034
14-02-19 16:00,1034
14-02-19 15:00,1035
14-02-19 14:00,1035
14-02-19 13:00,1035
14-02-19 12:00,1036
14-02-19 11:00,1035
14-02-19 10:00,1036
14-02-19 09:00,1035
14-02-19 08:00,1035
14-02-19 07:00,1034
14-02-19 06:00,1034
14-02-19 05:00,1034
14-02-19 04:00,1034
14-02-19 03:00,1034
14-02-19 02:00,1033
14-02-19 01:00,1034
14-02-19 00:00,1033
13-02-19 23:00,1033
13-02-19 22:00,1033
13-02-19 21:00,1033
13-02-19 20:00,1033
13-02-19 19:00,1033
13-02-19 18:00,1032
13-02-19 17:00,1032
13-02-19 16:00,1032
13-02-19 15:00,1032
13-02-19 14:00,1032
13-02-19 13:00,1032
13-02-19 12:00,1031
13-02-19 11:00,1031
13-02-19 10:00,1030
13-02-19 09:00,1030
13-02-19 08:00,1030
13-02-19 07:00,1030
13-02-19 06:00,1030
13-02-19 05:00,1031
13-02-19 04:00,1031
13-02-19 03:00,1031
13-02-19 02:00,1031
13-02-19 01:00,1031
13-02-19 00:00,1031
12-02-19 23:00,1031
12-02-19 22:00,1031
12-02-19 21:00,1030
12-02-19 20:00,1030
12-02-19 19:00,1029
12-02-19 18:00,1028
12-02-19 17:00,1028
12-02-19 16:00,1027
12-02-19 15:00,1026
12-02-19 14:00,1026
12-02-19 13:00,1026
12-02-19 12:00,1025
12-02-19 11:00,1025
12-02-19 10:00,1024
12-02-19 09:00,1023
12-02-19 08:00,1022
12-02-19 07:00,1022
12-02-19 06:00,1021
12-02-19 05:00,1021
12-02-19 04:00,1020
12-02-19 03:00,1020
12-02-19 02:00,1020
12-02-19 01:00,1019
12-02-19 00:00,1018
11-02-19 23:00,1018
11-02-19 22:00,1017
11-02-19 21:00,1015
11-02-19 20:00,1014
11-02-19 19:00,1013
11-02-19 18:00,1011
11-02-19 17:00,1010
11-02-19 16:00,1009
11-02-19 15:00,1008
11-02-19 14:00,1007
11-02-19 13:00,1005
11-02-19 12:00,1005
11-02-19 11:00,1004
11-02-19 10:00,1003
11-02-19 09:00,1001
11-02-19 08:00,1000
11-02-19 07:00,998
11-02-19 06:00,996
11-02-19 05:00,995
11-02-19 04:00,995
11-02-19 03:00,995
11-02-19 02:00,995
11-02-19 01:00,995
11-02-19 00:00,994
10-02-19 23:00,994
10-02-19 22:00,994
10-02-19 21:00,994
10-02-19 20:00,994
10-02-19 19:00,994
10-02-19 18:00,994
10-02-19 17:00,994
10-02-19 16:00,995
10-02-19 15:00,997
10-02-19 14:00,999
10-02-19 13:00,1000
10-02-19 12:00,1001
10-02-19 11:00,1003
10-02-19 10:00,1004
10-02-19 09:00,1006
10-02-19 08:00,1007
10-02-19 07:00,1008
10-02-19 06:00,1008
10-02-19 05:00,1009
10-02-19 04:00,1010
10-02-19 03:00,1010
10-02-19 02:00,1010
10-02-19 01:00,1010
10-02-19 00:00,1010
09-02-19 23:00,1010
09-02-19 22:00,1009
09-02-19 21:00,1009
09-02-19 20:00,1009
09-02-19 19:00,1009
09-02-19 18:00,1008
09-02-19 17:00,1008
09-02-19 16:00,1008
09-02-19 15:00,1007
09-02-19 14:00,1007
09-02-19 13:00,1007
09-02-19 12:00,1007
09-02-19 11:00,1006
09-02-19 10:00,1006
09-02-19 09:00,1006
09-02-19 08:00,1006
09-02-19 07:00,1006
09-02-19 06:00,1006
09-02-19 05:00,1007
09-02-19 04:00,1008
09-02-19 03:00,1008
09-02-19 02:00,1009
09-02-19 01:00,1010
09-02-19 00:00,1011
08-02-19 23:00,1012
08-02-19 22:00,1013
08-02-19 21:00,1014
08-02-19 20:00,1014
08-02-19 19:00,1014
08-02-19 18:00,1015
08-02-19 17:00,1015
08-02-19 16:00,1015
08-02-19 15:00,1016
08-02-19 14:00,1016
08-02-19 13:00,1017
08-02-19 12:00,1017
08-02-19 11:00,1017
08-02-19 10:00,1017
08-02-19 09:00,1017
08-02-19 08:00,1017
08-02-19 07:00,1016
08-02-19 06:00,1016
08-02-19 05:00,1016
08-02-19 04:00,1015
08-02-19 03:00,1015
08-02-19 02:00,1015
08-02-19 01:00,1015
08-02-19 00:00,1014
07-02-19 23:00,1014
07-02-19 22:00,1013
07-02-19 21:00,1013
07-02-19 20:00,1012
07-02-19 19:00,1012
07-02-19 18:00,1012
07-02-19 17:00,1011
07-02-19 16:00,1011
07-02-19 15:00,1012
07-02-19 14:00,1012
07-02-19 13:00,1013
07-02-19 12:00,1014
07-02-19 11:00,1014
07-02-19 10:00,1015
07-02-19 09:00,1015
07-02-19 08:00,1015
07-02-19 07:00,1016
07-02-19 06:00,1016
07-02-19 05:00,1017
07-02-19 04:00,1018
07-02-19 03:00,1019
07-02-19 02:00,1019
07-02-19 01:00,1020
07-02-19 00:00,1021
06-02-19 23:00,1021
06-02-19 22:00,1021
06-02-19 21:00,1022
06-02-19 20:00,1022
06-02-19 19:00,1022
06-02-19 18:00,1023
06-02-19 17:00,1023
06-02-19 16:00,1024
06-02-19 15:00,1025
06-02-19 14:00,1026
06-02-19 13:00,1027
06-02-19 12:00,1027
06-02-19 11:00,1027
06-02-19 10:00,1028
06-02-19 09:00,1028
06-02-19 08:00,1028
06-02-19 07:00,1028
06-02-19 06:00,1027
06-02-19 05:00,1027
06-02-19 04:00,1028
06-02-19 03:00,1028
06-02-19 02:00,1028
06-02-19 01:00,1028
06-02-19 00:00,1028
05-02-19 23:00,1028
05-02-19 22:00,1028
05-02-19 21:00,1027
05-02-19 20:00,1027
05-02-19 19:00,1027
05-02-19 18:00,1027
05-02-19 17:00,1026
05-02-19 16:00,1026
05-02-19 15:00,1026
05-02-19 14:00,1026
05-02-19 13:00,1026
05-02-19 12:00,1026
05-02-19 11:00,1026
05-02-19 10:00,1026
05-02-19 09:00,1025
05-02-19 08:00,1026
05-02-19 07:00,1026
05-02-19 06:00,1025
05-02-19 05:00,1026
05-02-19 04:00,1026
05-02-19 03:00,1026
05-02-19 02:00,1027
05-02-19 01:00,1027
05-02-19 00:00,1028
04-02-19 23:00,1028
04-02-19 22:00,1028
04-02-19 21:00,1028
04-02-19 20:00,1028
04-02-19 19:00,1028
04-02-19 18:00,1028
04-02-19 17:00,1028
04-02-19 16:00,1028
04-02-19 15:00,1028
04-02-19 14:00,1029
04-02-19 13:00,1028
04-02-19 12:00,1028
04-02-19 11:00,1028
04-02-19 10:00,1028
04-02-19 09:00,1027
04-02-19 08:00,1026
04-02-19 07:00,1026
04-02-19 06:00,1025
04-02-19 05:00,1024
04-02-19 04:00,1023
04-02-19 03:00,1022
04-02-19 02:00,1021
04-02-19 01:00,1020
04-02-19 00:00,1019
03-02-19 23:00,1018
03-02-19 22:00,1017
03-02-19 21:00,1016
03-02-19 20:00,1015
03-02-19 19:00,1015
03-02-19 18:00,1013
03-02-19 17:00,1012
03-02-19 16:00,1012
03-02-19 15:00,1011
03-02-19 14:00,1010
03-02-19 13:00,1010
03-02-19 12:00,1009
03-02-19 11:00,1009
03-02-19 10:00,1008
03-02-19 09:00,1008
03-02-19 08:00,1007
03-02-19 07:00,1007
03-02-19 06:00,1007
03-02-19 05:00,1006
03-02-19 04:00,1006
03-02-19 03:00,1005
03-02-19 02:00,1005
03-02-19 01:00,1004
03-02-19 00:00,1003
02-02-19 23:00,1003
02-02-19 22:00,1002
02-02-19 21:00,1001
02-02-19 20:00,1000
02-02-19 19:00,1000
02-02-19 18:00,999
02-02-19 17:00,998
02-02-19 16:00,997
02-02-19 15:00,996
02-02-19 14:00,995
02-02-19 13:00,995
02-02-19 12:00,994
02-02-19 11:00,994
02-02-19 10:00,993
02-02-19 09:00,993
02-02-19 08:00,992
02-02-19 07:00,992
02-02-19 06:00,992
02-02-19 05:00,991
02-02-19 04:00,992
02-02-19 03:00,992
02-02-19 02:00,992
02-02-19 01:00,993
02-02-19 00:00,993
01-02-19 23:00,993
01-02-19 22:00,993
01-02-19 21:00,994
01-02-19 20:00,994
01-02-19 19:00,995
01-02-19 18:00,995
01-02-19 17:00,995
01-02-19 16:00,996
01-02-19 15:00,996
01-02-19 14:00,996
01-02-19 13:00,996
01-02-19 12:00,996
01-02-19 11:00,996
01-02-19 10:00,996
01-02-19 09:00,996
01-02-19 08:00,997
01-02-19 07:00,997
01-02-19 06:00,997
01-02-19 05:00,998
01-02-19 04:00,998
01-02-19 03:00,998
01-02-19 02:00,998
01-02-19 01:00,999

