Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
2017-07-04,00:00,,,,91,,,0.5
2017-07-04,01:00,,,,88,,,0.5
2017-07-04,02:00,,,,81,,,0.5
2017-07-04,03:00,,,,77,,,0.5
2017-07-04,04:00,,,,78,,,0.5
2017-07-04,05:00,,,,81,,,0.5
2017-07-04,06:00,,,,77,,,0.5
2017-07-04,07:00,,,,77,,,0.5
2017-07-04,08:00,,,,73,,,0.5
2017-07-04,09:00,,,,74,,,0.5
2017-07-04,10:00,,,,82,,,0.5
2017-07-04,11:00,,,,84,,,0.5
2017-07-04,13:00,,,,88,,,0.5
2017-07-04,14:00,,,,86,,,0.5
2017-07-04,15:00,,,,84,,,0.5
2017-07-04,16:00,,,,84,,,0.5
2017-07-04,17:00,,,,81,,,0.5
2017-07-04,18:00,,,,84,,,0.5
2017-07-04,19:00,,,,83,,,0.5
2017-07-04,20:00,,,,80,,,0.5
2017-07-04,21:00,,,,84,,,0.5
2017-07-04,22:00,,,,89,,,0.5
2017-07-04,23:00,,,,91,,,0.5
2017-07-05,00:00,,,,92,,,0.5
2017-07-05,01:00,,,,94,,,0.5
2017-07-05,02:00,,,,95,,,0.5
2017-07-05,03:00,,,,94,,,0.5
2017-07-05,04:00,,,,95,,,3.3
2017-07-05,05:00,,,,94,,,4.3
2017-07-05,06:00,,,,97,,,2.5
2017-07-05,07:00,,,,98,,,1.1
2017-07-05,08:00,,,,104,,,0.5
2017-07-05,09:00,,,,109,,,0.5
2017-07-05,10:00,,,,110,,,0.5
2017-07-05,11:00,,,,104,,,0.5
2017-07-05,12:00,,,,102,,,0.5
2017-07-05,13:00,,,,108,,,0.5
2017-07-05,14:00,,,,110,,,0.5
2017-07-05,15:00,,,,115,,,0.5
2017-07-05,16:00,,,,115,,,1.8
2017-07-05,17:00,,,,115,,,1.5
2017-07-05,18:00,,,,112,,,1.1
2017-07-05,19:00,,,,110,,,1.0
2017-07-05,20:00,,,,105,,,0.5
2017-07-05,21:00,,,,111,,,0.5
2017-07-05,22:00,,,,111,,,0.5
2017-07-05,23:00,,,,118,,,1.3
2017-07-06,00:00,,,,114,,,1.3
2017-07-06,01:00,,,,113,,,1.2
2017-07-06,02:00,,,,109,,,0.5
2017-07-06,03:00,,,,112,,,0.5
2017-07-06,04:00,,,,111,,,0.5
2017-07-06,05:00,,,,113,,,0.5
2017-07-06,06:00,,,,114,,,0.5
2017-07-06,07:00,,,,108,,,1.9
2017-07-06,08:00,,,,103,,,2.4
2017-07-06,09:00,,,,106,,,1.8
2017-07-06,10:00,,,,107,,,2.2
2017-07-06,11:00,,,,104,,,2.4
2017-07-06,12:00,,,,101,,,1.9
2017-07-06,13:00,,,,101,,,1.7
2017-07-06,14:00,,,,105,,,1.5
2017-07-06,15:00,,,,112,,,0.5
2017-07-06,16:00,,,,116,,,0.5
2017-07-06,17:00,,,,121,,,0.5
2017-07-06,18:00,,,,124,,,0.5
2017-07-06,19:00,,,,127,,,0.5
2017-07-06,20:00,,,,129,,,4.3
2017-07-06,21:00,,,,129,,,15.8
2017-07-06,22:00,,,,132,,,7.1
2017-07-06,23:00,,,,135,,,4.5
2017-07-07,00:00,,,,132,,,2.0
2017-07-07,01:00,,,,132,,,1.4
2017-07-07,02:00,,,,122,,,0.5
2017-07-07,03:00,,,,119,,,1.7
2017-07-07,04:00,,,,114,,,3.0
2017-07-07,05:00,,,,113,,,0.5
2017-07-07,06:00,,,,103,,,0.5
2017-07-07,07:00,,,,105,,,0.5
2017-07-07,08:00,,,,109,,,0.5
2017-07-07,09:00,,,,110,,,0.5
2017-07-07,10:00,,,,111,,,0.5
2017-07-07,11:00,,,,111,,,0.5
2017-07-07,12:00,,,,119,,,0.5
2017-07-07,13:00,,,,119,,,0.5
2017-07-07,14:00,,,,122,,,0.5
2017-07-07,15:00,,,,121,,,0.5
2017-07-07,16:00,,,,121,,,0.5
2017-07-07,17:00,,,,115,,,0.5
2017-07-07,18:00,,,,117,,,0.5
2017-07-07,19:00,,,,112,,,0.5
2017-07-07,20:00,,,,118,,,0.5
2017-07-07,21:00,,,,117,,,0.5
2017-07-07,22:00,,,,109,,,0.5
2017-07-07,23:00,,,,115,,,0.5
2017-07-08,00:00,,,,120,,,0.5
2017-07-08,01:00,,,,119,,,0.5
2017-07-08,02:00,,,,123,,,0.5
2017-07-08,03:00,,,,118,,,0.5
2017-07-08,04:00,,,,122,,,0.5
2017-07-08,05:00,,,,119,,,0.5
2017-07-08,06:00,,,,117,,,0.5
2017-07-08,07:00,,,,123,,,0.5
2017-07-08,08:00,,,,115,,,0.5
2017-07-08,09:00,,,,105,,,0.5
2017-07-08,10:00,,,,99,,,0.5
2017-07-08,11:00,,,,103,,,0.5
2017-07-08,12:00,,,,106,,,0.5
2017-07-08,13:00,,,,103,,,0.5
2017-07-08,14:00,,,,107,,,0.5
2017-07-08,15:00,,,,110,,,0.5
2017-07-08,16:00,,,,111,,,0.5
2017-07-08,17:00,,,,114,,,0.5
2017-07-08,18:00,,,,112,,,0.5
2017-07-08,19:00,,,,104,,,0.5
2017-07-08,20:00,,,,97,,,0.5
2017-07-08,21:00,,,,96,,,0.5
2017-07-08,22:00,,,,99,,,0.5
2017-07-08,23:00,,,,103,,,1.1
2017-07-09,00:00,,,,109,,,1.4
2017-07-09,01:00,,,,111,,,2.2
2017-07-09,02:00,,,,106,,,3.2
2017-07-09,03:00,,,,106,,,4.1
2017-07-09,04:00,,,,106,,,2.7
2017-07-09,05:00,,,,106,,,2.8
2017-07-09,06:00,,,,107,,,2.5
2017-07-09,07:00,,,,111,,,1.3
2017-07-09,08:00,,,,112,,,0.5
2017-07-09,09:00,,,,114,,,0.5
2017-07-09,10:00,,,,104,,,1.1
2017-07-09,11:00,,,,104,,,1.4
2017-07-09,12:00,,,,110,,,0.5
2017-07-09,13:00,,,,96,,,1.9
2017-07-09,14:00,,,,106,,,0.5
2017-07-09,15:00,,,,110,,,0.5
2017-07-09,16:00,,,,98,,,0.5
2017-07-09,17:00,,,,116,,,0.5
2017-07-09,18:00,,,,120,,,1.4
2017-07-09,19:00,,,,110,,,6.9
2017-07-09,20:00,,,,123,,,5.4
2017-07-09,21:00,,,,125,,,1.2
2017-07-09,22:00,,,,123,,,0.5
2017-07-09,23:00,,,,124,,,0.5
2017-07-10,00:00,,,,108,,,3.3
2017-07-10,01:00,,,,102,,,3.4
2017-07-10,02:00,,,,100,,,1.8
2017-07-10,03:00,,,,100,,,2.7
2017-07-10,04:00,,,,103,,,0.5
2017-07-10,05:00,,,,103,,,0.5
2017-07-10,06:00,,,,100,,,0.5
2017-07-10,07:00,,,,93,,,2.2
2017-07-10,08:00,,,,76,,,1.8
2017-07-10,09:00,,,,76,,,0.5
2017-07-10,10:00,,,,79,,,0.5
2017-07-10,11:00,,,,91,,,0.5
2017-07-10,12:00,,,,96,,,0.5
2017-07-10,13:00,,,,95,,,0.5
2017-07-10,14:00,,,,98,,,1.6
2017-07-10,15:00,,,,102,,,2.0
2017-07-10,16:00,,,,101,,,1.3
2017-07-10,17:00,,,,100,,,0.5
2017-07-10,18:00,,,,97,,,0.5
2017-07-10,19:00,,,,95,,,0.5
2017-07-10,20:00,,,,88,,,0.5
2017-07-10,21:00,,,,85,,,0.5
2017-07-10,22:00,,,,89,,,0.5
2017-07-10,23:00,,,,84,,,0.5
2017-07-11,00:00,,,,80,,,0.5
2017-07-11,01:00,,,,82,,,0.5
2017-07-11,02:00,,,,81,,,0.5
2017-07-11,03:00,,,,77,,,0.5
2017-07-11,04:00,,,,82,,,0.5
2017-07-11,05:00,,,,82,,,0.5
2017-07-11,06:00,,,,87,,,0.5
2017-07-11,07:00,,,,88,,,0.5
2017-07-11,08:00,,,,88,,,0.5
2017-07-11,09:00,,,,90,,,0.5
2017-07-11,10:00,,,,79,,,0.5
2017-07-11,11:00,,,,78,,,0.5
2017-07-11,12:00,,,,78,,,0.5
2017-07-11,13:00,,,,80,,,0.5
2017-07-11,14:00,,,,75,,,0.5
2017-07-11,15:00,,,,75,,,0.5
2017-07-11,16:00,,,,69,,,0.5
2017-07-11,17:00,,,,75,,,0.5
2017-07-11,18:00,,,,80,,,0.5
2017-07-11,19:00,,,,77,,,0.5
2017-07-11,20:00,,,,75,,,0.5
2017-07-11,21:00,,,,80,,,0.5
2017-07-11,22:00,,,,81,,,0.5
2017-07-11,23:00,,,,79,,,0.5
2017-07-12,00:00,,,,80,,,0.5
2017-07-12,01:00,,,,83,,,0.5
2017-07-12,02:00,,,,82,,,0.5
2017-07-12,03:00,,,,87,,,0.5
2017-07-12,04:00,,,,91,,,0.5
2017-07-12,05:00,,,,93,,,0.5
2017-07-12,06:00,,,,83,,,0.5
2017-07-12,07:00,,,,67,,,0.5
2017-07-12,08:00,,,,64,,,0.5
2017-07-12,09:00,,,,71,,,0.5
2017-07-12,10:00,,,,72,,,0.5
2017-07-12,11:00,,,,74,,,0.5
2017-07-12,12:00,,,,74,,,1.0
2017-07-12,13:00,,,,78,,,0.5
2017-07-12,14:00,,,,75,,,0.5
2017-07-12,15:00,,,,74,,,0.5
2017-07-12,16:00,,,,65,,,0.5
2017-07-12,17:00,,,,61,,,0.5
2017-07-12,18:00,,,,57,,,0.5
2017-07-12,19:00,,,,65,,,0.5
2017-07-12,20:00,,,,77,,,0.5
2017-07-12,21:00,,,,64,,,0.5
2017-07-12,22:00,,,,67,,,0.5
2017-07-12,23:00,,,,69,,,0.5
2017-07-13,00:00,,,,60,,,0.5
2017-07-13,01:00,,,,60,,,0.5
2017-07-13,02:00,,,,62,,,0.5
2017-07-13,03:00,,,,62,,,0.5
2017-07-13,04:00,,,,62,,,0.5
2017-07-13,05:00,,,,61,,,0.5
2017-07-13,06:00,,,,60,,,0.5
2017-07-13,07:00,,,,58,,,0.5
2017-07-13,08:00,,,,58,,,0.5
2017-07-13,09:00,,,,58,,,0.5
2017-07-13,10:00,,,,59,,,0.5
2017-07-13,11:00,,,,58,,,0.5
2017-07-13,12:00,,,,59,,,0.5
2017-07-13,13:00,,,,63,,,0.5
2017-07-13,14:00,,,,63,,,0.5
2017-07-13,15:00,,,,66,,,0.5
2017-07-13,16:00,,,,70,,,0.5
2017-07-13,17:00,,,,74,,,0.5
2017-07-13,18:00,,,,75,,,0.5
2017-07-13,19:00,,,,76,,,0.5
2017-07-13,20:00,,,,73,,,0.5
2017-07-13,21:00,,,,78,,,0.5
2017-07-13,22:00,,,,79,,,0.5
2017-07-13,23:00,,,,78,,,0.5
2017-07-14,00:00,,,,83,,,0.5
2017-07-14,01:00,,,,82,,,0.5
2017-07-14,02:00,,,,79,,,4.6
2017-07-14,03:00,,,,77,,,5.1
2017-07-14,04:00,,,,79,,,5.2
2017-07-14,05:00,,,,80,,,3.1
2017-07-14,06:00,,,,78,,,5.9
2017-07-14,07:00,,,,74,,,3.8
2017-07-14,08:00,,,,79,,,1.9
2017-07-14,09:00,,,,81,,,1.1
2017-07-14,10:00,,,,81,,,0.5
2017-07-14,11:00,,,,78,,,0.5
2017-07-14,12:00,,,,72,,,0.5
2017-07-14,13:00,,,,80,,,0.5
2017-07-14,14:00,,,,85,,,0.5
2017-07-14,15:00,,,,80,,,0.5
2017-07-14,16:00,,,,85,,,0.5
2017-07-14,17:00,,,,82,,,0.5
2017-07-14,18:00,,,,85,,,0.5
2017-07-14,19:00,,,,82,,,0.5
2017-07-14,20:00,,,,79,,,0.5
2017-07-14,21:00,,,,78,,,0.5
2017-07-14,22:00,,,,83,,,0.5
2017-07-14,23:00,,,,90,,,0.5
2017-07-15,00:00,,,,94,,,0.5
2017-07-15,01:00,,,,78,,,0.5
2017-07-15,02:00,,,,87,,,0.5
2017-07-15,03:00,,,,87,,,0.5
2017-07-15,04:00,,,,87,,,0.5
